Soersen(OptIndex), CostArea, SDI, Soersen, Jaccard, SDI_a, Soersen_a, Jaccard_a
0.089508,5862.973468,0.184981,0.089508,0.157809,0.489157,0.211408,0.335266
0.089508,5862.980674,0.184982,0.089508,0.157809,0.489161,0.211408,0.335266
0.088445,5782.606368,0.182282,0.088445,0.156146,0.482592,0.209553,0.332961
0.088445,5782.606425,0.182282,0.088445,0.156146,0.482592,0.209553,0.332961
0.088445,5782.606346,0.182282,0.088445,0.156146,0.482592,0.209553,0.332961
0.088445,5782.606415,0.182282,0.088445,0.156146,0.482592,0.209553,0.332961
0.088445,5782.606336,0.182282,0.088445,0.156146,0.482592,0.209553,0.332961
0.088344,5729.611278,0.176569,0.088344,0.155163,0.458256,0.212575,0.336503
0.089507,5862.958850,0.184981,0.089507,0.157808,0.489155,0.211408,0.335266
0.089507,5862.971564,0.184981,0.089507,0.157809,0.489159,0.211408,0.335266
0.089508,5862.977921,0.184982,0.089508,0.157809,0.489161,0.211408,0.335266
0.089507,5862.958982,0.184980,0.089507,0.157808,0.489151,0.211408,0.335266
0.089507,5862.971590,0.184981,0.089507,0.157809,0.489157,0.211408,0.335266
0.089508,5862.977894,0.184982,0.089508,0.157809,0.489159,0.211408,0.335266
0.089508,5862.981046,0.184982,0.089508,0.157809,0.489161,0.211408,0.335266
0.088445,5782.604953,0.182282,0.088445,0.156146,0.482591,0.209553,0.332961
0.088445,5782.605011,0.182282,0.088445,0.156146,0.482591,0.209553,0.332961
0.088445,5782.604932,0.182282,0.088445,0.156146,0.482591,0.209553,0.332961
0.088445,5782.605001,0.182282,0.088445,0.156146,0.482591,0.209553,0.332961
0.088445,5782.604922,0.182282,0.088445,0.156146,0.482591,0.209553,0.332961
0.088344,5729.616544,0.176570,0.088344,0.155163,0.458256,0.212575,0.336503
0.089507,5862.971498,0.184981,0.089507,0.157809,0.489158,0.211408,0.335266
0.089508,5862.977060,0.184982,0.089508,0.157809,0.489160,0.211408,0.335266
0.089508,5862.979841,0.184982,0.089508,0.157809,0.489161,0.211408,0.335266
0.089507,5862.971192,0.184981,0.089507,0.157809,0.489156,0.211408,0.335266
0.089508,5862.976708,0.184982,0.089508,0.157809,0.489159,0.211408,0.335266
0.089508,5862.979466,0.184982,0.089508,0.157809,0.489160,0.211408,0.335266
0.089508,5862.980845,0.184982,0.089508,0.157809,0.489161,0.211408,0.335266
0.089508,5862.981535,0.184982,0.089508,0.157809,0.489161,0.211408,0.335266
