SDI_a(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.481386,404366.951662,0.471504,0.440288,0.468248,0.481386,0.457840,0.477992
0.481374,404357.572252,0.471493,0.440261,0.468233,0.481374,0.457812,0.477977
0.481375,404358.280330,0.471494,0.440281,0.468244,0.481375,0.457833,0.477988
0.481366,404350.550374,0.471485,0.440285,0.468247,0.481366,0.457838,0.477991
0.481363,404348.040142,0.471482,0.440282,0.468245,0.481363,0.457835,0.477989
0.481363,404348.060162,0.471482,0.440283,0.468245,0.481363,0.457835,0.477990
0.481363,404347.686599,0.471482,0.440283,0.468245,0.481363,0.457835,0.477989
0.481367,404350.898263,0.471485,0.440289,0.468249,0.481367,0.457842,0.477993
0.481363,404347.730788,0.471482,0.440282,0.468245,0.481363,0.457835,0.477989
0.481363,404348.074237,0.471482,0.440283,0.468245,0.481363,0.457836,0.477990
0.481363,404348.074152,0.471482,0.440283,0.468245,0.481363,0.457836,0.477990
0.481363,404348.074357,0.471482,0.440283,0.468245,0.481363,0.457836,0.477990
0.481363,404348.075723,0.471482,0.440283,0.468245,0.481363,0.457836,0.477990
0.481363,404347.686656,0.471482,0.440283,0.468245,0.481363,0.457835,0.477989
1.145509,962234.734235,1.121995,0.446915,0.471969,1.145509,0.454345,0.476080
0.481361,404346.102810,0.471480,0.440282,0.468245,0.481361,0.457835,0.477989
0.481363,404347.753049,0.471482,0.440282,0.468245,0.481363,0.457835,0.477989
0.481362,404346.937863,0.471481,0.440285,0.468246,0.481362,0.457838,0.477991
0.481361,404346.102895,0.471480,0.440282,0.468245,0.481361,0.457835,0.477989
0.481361,404346.084197,0.471480,0.440282,0.468245,0.481361,0.457835,0.477989
0.481360,404345.592778,0.471479,0.440282,0.468245,0.481360,0.457834,0.477989
0.481361,404346.085769,0.471480,0.440282,0.468245,0.481361,0.457835,0.477989
0.481361,404346.102875,0.471480,0.440282,0.468245,0.481361,0.457835,0.477989
0.482001,404883.780014,0.472107,0.438910,0.467468,0.482001,0.456327,0.477166
0.481616,404560.823683,0.471730,0.439500,0.467802,0.481616,0.456979,0.477523
0.481618,404562.287203,0.471732,0.439500,0.467802,0.481618,0.456980,0.477523
0.481618,404561.750733,0.471731,0.439498,0.467801,0.481618,0.456977,0.477521
0.481618,404562.055367,0.471731,0.439500,0.467802,0.481618,0.456980,0.477523
0.481618,404562.055221,0.471731,0.439500,0.467802,0.481618,0.456980,0.477523
0.481617,404561.700647,0.471731,0.439498,0.467801,0.481617,0.456977,0.477522
0.481618,404562.056875,0.471731,0.439500,0.467802,0.481618,0.456980,0.477523
0.481617,404561.700494,0.471731,0.439498,0.467801,0.481617,0.456977,0.477522
0.481769,404688.929087,0.471879,0.439260,0.467666,0.481769,0.456714,0.477378
0.481537,404494.488922,0.471653,0.439319,0.467699,0.481537,0.456786,0.477417
0.481537,404494.397869,0.471653,0.439319,0.467699,0.481537,0.456787,0.477417
0.481480,404446.269224,0.471596,0.439464,0.467782,0.481480,0.456946,0.477504
0.481512,404473.231139,0.471628,0.439359,0.467722,0.481512,0.456831,0.477442
0.481512,404473.230980,0.471628,0.439359,0.467722,0.481512,0.456831,0.477442
0.481537,404494.489211,0.471653,0.439319,0.467699,0.481537,0.456786,0.477417
0.481537,404494.490579,0.471653,0.439319,0.467699,0.481537,0.456786,0.477417
0.481537,404494.489051,0.471653,0.439319,0.467699,0.481537,0.456786,0.477417
2.849362,2393481.642409,2.790871,0.474546,0.486940,2.849362,0.477882,0.488691
1.170355,983105.462414,1.146330,0.449011,0.473135,1.170355,0.456349,0.477178
0.731565,614519.578422,0.716548,0.436388,0.466033,0.731565,0.447579,0.472339
0.588312,494186.195061,0.576236,0.433072,0.464136,0.588312,0.446860,0.471939
0.481510,404471.183400,0.471626,0.439356,0.467720,0.481510,0.456828,0.477440
0.481537,404493.962016,0.471652,0.439320,0.467700,0.481537,0.456788,0.477418
0.481537,404494.369503,0.471653,0.439319,0.467699,0.481537,0.456787,0.477417
0.481510,404471.183557,0.471626,0.439356,0.467720,0.481510,0.456828,0.477440
0.481537,404494.279026,0.471652,0.439319,0.467699,0.481537,0.456787,0.477418
0.481510,404471.183680,0.471626,0.439356,0.467720,0.481510,0.456828,0.477440
0.481510,404471.185043,0.471626,0.439356,0.467720,0.481510,0.456828,0.477440
0.481537,404494.279156,0.471652,0.439319,0.467699,0.481537,0.456787,0.477418
3.631858,3050783.657376,3.557305,0.478559,0.489044,3.631858,0.481216,0.490428
0.482106,404972.047209,0.472210,0.439226,0.467647,0.482106,0.456665,0.477351
0.481769,404688.926184,0.471879,0.439259,0.467665,0.481769,0.456713,0.477377
0.481965,404853.981734,0.472072,0.439409,0.467751,0.481965,0.456868,0.477462
