SDI(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.754004,646642.252074,0.754004,0.263063,0.344746,0.769806,0.266886,0.348013
0.742876,637098.473870,0.742876,0.260884,0.342870,0.758445,0.264701,0.346149
0.754766,647295.374868,0.754766,0.262793,0.344514,0.770584,0.266604,0.347773
0.750475,643615.494350,0.750475,0.262010,0.343841,0.766203,0.265820,0.347105
0.751853,644797.151885,0.751853,0.262268,0.344063,0.767610,0.266079,0.347326
0.748774,642156.554695,0.748774,0.261975,0.343810,0.764466,0.265792,0.347082
0.749918,643137.570569,0.749918,0.262036,0.343863,0.765634,0.265850,0.347130
0.754053,646683.797483,0.754053,0.262903,0.344609,0.769856,0.266721,0.347873
0.755586,647998.792399,0.755586,0.262809,0.344528,0.771421,0.266617,0.347783
0.489374,419692.161895,0.489374,0.479190,0.489374,0.499630,0.499260,0.499630
0.752764,645578.590068,0.752764,0.263011,0.344702,0.768540,0.266839,0.347973
0.751476,644473.983633,0.751476,0.262184,0.343991,0.767225,0.265994,0.347254
0.759607,651446.880081,0.759607,0.263766,0.345349,0.775526,0.267580,0.348602
0.756149,648481.335153,0.756149,0.264086,0.345624,0.771996,0.267928,0.348897
0.750603,643725.258801,0.750603,0.262166,0.343975,0.766334,0.265981,0.347242
0.747109,640728.451677,0.747109,0.261536,0.343432,0.762766,0.265349,0.346704
0.756153,648485.420648,0.756153,0.263603,0.345210,0.772001,0.267431,0.348476
0.752455,645313.472762,0.752455,0.262359,0.344141,0.768225,0.266169,0.347402
0.745373,639240.131123,0.745373,0.260867,0.342855,0.760994,0.264670,0.346123
0.748477,641901.695840,0.748477,0.261674,0.343551,0.764163,0.265484,0.346819
0.744293,638313.865770,0.744293,0.260974,0.342947,0.759892,0.264785,0.346222
0.751439,644442.686728,0.751439,0.262209,0.344012,0.767188,0.266020,0.347275
0.753096,645862.919431,0.753096,0.262600,0.344348,0.768879,0.266414,0.347611
0.752604,645441.225153,0.752604,0.262517,0.344277,0.768377,0.266331,0.347541
0.753706,646386.126103,0.753706,0.262637,0.344380,0.769502,0.266449,0.347641
0.745014,638932.022470,0.745014,0.261252,0.343187,0.760628,0.265068,0.346464
0.753804,646470.883861,0.753804,0.262721,0.344453,0.769602,0.266535,0.347714
0.749700,642951.171323,0.749700,0.262029,0.343857,0.765412,0.265844,0.347125
0.744877,638814.894448,0.744877,0.261187,0.343131,0.760488,0.265002,0.346407
0.745828,639630.315016,0.745828,0.261379,0.343297,0.761459,0.265195,0.346571
0.752857,645658.453888,0.752857,0.262765,0.344490,0.768635,0.266585,0.347757
0.753037,645812.641221,0.753037,0.262767,0.344492,0.768819,0.266586,0.347757
0.750110,643302.109056,0.750110,0.262016,0.343845,0.765830,0.265828,0.347112
0.750287,643454.511526,0.750287,0.262024,0.343853,0.766012,0.265836,0.347118
0.745777,639586.508174,0.745777,0.261338,0.343261,0.761407,0.265152,0.346535
0.748112,641589.191712,0.748112,0.261647,0.343528,0.763791,0.265459,0.346797
0.744253,638279.755577,0.744253,0.260937,0.342916,0.759851,0.264748,0.346190
0.752903,645698.189285,0.752903,0.262384,0.344163,0.768683,0.266193,0.347423
0.745156,639054.086870,0.745156,0.261153,0.343102,0.760773,0.264966,0.346376
